drillhole_id,longitude,latitude,year,start_date,locality,company,licence,altitude
KVA S016,-45.922702,60.941309,2011,2011-01-01,"Ilimausaq, Sørensen",Greenland Minerals and Energy Ltd.,2010/02,654.0
CAS 003,-63.378526,80.235323,2011,2011-08-21,Cass Fjord - Main,Ironbark Zinc Limited,2007/33,265.0
NAL 19-01,-44.833956,60.35559,2019,2019-01-01,Nalunaq,AEX Gold Inc.,2003/05,303.0
DWD 002,-67.230758,76.2738,2012,2012-01-01,De Dødes West,Red Rock Resources,2011/25,443.0
ECP110,-45.871118,60.866493,2007,2007-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,18.62
NAL B159,-44.836916,60.35775,2008,2008-02-17,Nalunaq,Crew Gold Corporation,2002/03,292.97
QAQ 11-07,-51.67635,65.37518,2011,2011-06-13,Qeqertaasaq,NunaMinerals A/S,2007/51,454.32
KVA ST006,-45.961657,60.975981,2011,2011-01-01,"Ilimausaq, Steenstrupsfjeld",Greenland Minerals and Energy Ltd.,2010/02,596.0
KVA 113,-46.006295,60.971265,2007,2007-01-01,"Ilimausaq, Kvanefjeld",Greenland Minerals and Energy Ltd.,2005/28,555.97
TAN 08-04,-50.1752,65.09124,2008,2008-07-23,Isua (Tangent),NunaMinerals A/S,2005/25,837.0
CF08-148,-28.301412,83.08164,2008,2008-01-01,Citronen Fjord - Beach Zone,Ironbark Zinc Limited,2007/02,61.5
CF10-265,-28.303169,83.08625,2010,2010-01-01,Citronen Fjord - Beach Zone South,Ironbark Zinc Limited,2007/02,52.26
NAL B120,-44.850135,60.356977,2007,2007-01-01,Nalunaq,Crew Gold Corporation,2002/03,593.35
CF10-214,-28.30261,83.095973,2010,2010-01-01,Citronen Fjord - Beach Zone,Ironbark Zinc Limited,2007/02,8.0
KRI RC24,-45.84486,60.86772,2010,2010-01-01,"Ilimausaq, Kringlerne",Rimbal Pty Ltd.,2006/04,366.04
MQ-12-004,-51.485962,65.437128,2012,2012-09-02,Imiak Hill,North American Nickel Inc.,2011/54,540.0
NMD020,-51.232092,66.484182,2002,2002-08-27,Sarfartoq,New Millennium Resources NL.,2001/05,637.0
NAL B090,-44.849632,60.356846,2007,2007-01-01,Nalunaq,Crew Gold Corporation,2002/03,592.72
ISS 06,-47.437147,60.961851,2012,2012-05-01,Isortoq South,West Melville Metals Inc.,2009/15,53.8
