longitude,latitude,year,locality
-51.786958,65.620171,2014,Pingo P-146
-50.319829,63.010946,2007,Aappaluttoq
-51.11753,64.67415,2008,Qussuk - Plateau
-51.08621,64.81399,2009,Qussuk - Swan North Zone
-51.329605,66.525694,2012,Sarfartoq - ST-1 north
-28.313037,83.092387,2009,Citronen Fjord - Beach Zone
-28.304867,83.091325,2009,Citronen Fjord - Beach Zone
-50.320244,63.010966,2007,Aappaluttoq
-51.492293,65.432128,2018,Imiak Hill G-026
-50.319949,63.010884,2007,Aappaluttoq
-52.111348,66.573537,2012,White Mountain (Qaqortorssuaq)
-45.957466,60.984702,2011,"Ilimausaq, Steenstrupsfjeld"
-51.55298,64.988628,2003,Seqi
-50.319541,63.011457,2008,Aappaluttoq
-52.03358,65.101761,2015,P-053
-50.320765,63.010628,2007,Aappaluttoq
-51.267001,71.100905,2016,Nunngarut Prospect
-45.837512,60.864847,2010,"Ilimausaq, Kringlerne"
-45.846262,60.867809,2010,"Ilimausaq, Kringlerne"
-50.319479,63.010747,2008,Aappaluttoq
-50.986023,71.111819,2007,Black Angel - Glacier Zone
-51.187326,66.497894,2012,Sarfartoq - ST-24
-44.837684,60.355664,2004,Nalunaq
-31.62504,68.18526,2011,Skaergaard
-45.847609,60.867226,2010,"Ilimausaq, Kringlerne"
-28.30986,83.087396,2008,Citronen Fjord - Beach Zone
-51.333345,66.52277,2010,Sarfartoq - ST1
-68.78867,76.287742,2012,Havik East
-46.008472,60.970584,2010,"Ilimausaq, Kvanefjeld"
